item_id|item_revision_id|object_type|CLASS_ID|CLASS_NAME|Blade Tip stacking|Blade code|Blade layout|Cost Factor|Degree °|Drive Type|Fan Layout Application|Green Factor|Hub axial depth|Hub diameter|Lip|Lip shape|Max diameter|Max. Blade-hub radius|Max. Blade-tip radius|Min. Blade-gap|Moments of Inertia (Iz)|Motor-Blade position|Nominal diameter|Number of blades|Recommendation - Americas|Recommendation - Asia|Recommendation - Europe|Ring|Ring axial depth|Ring thickness|Rotation|Technical Recommendation|Type
1111-5YY0218|03a|LT4_JECAD|ICM0102023202|CFM Fan|BW|8280634|Asymmetric||56.15 52.06 48.23 54.98 46.61 59.09 42.88|3 M5x120° ?100mm ?117mm|Upstream||42.67|190.00|Yes|VW|530.00|5.00|1.00|0.00|28100|0.00|520.00|7||||Yes|24.60|2.50|CW||Axial
1111-5YY0319|01-|LT4_JECAD|ICM0102023202|CFM Fan|FW|8280356|Symmetric||0|3 M5x120° ?100mm ?117mm|Upstream||45.00|167.00|Yes||460.00|2.00|1.50|0.00|20104|5.20|440.00|8||||Yes|35.00|2.50|CW||Axial
1111-5YY0319|02-|LT4_JECAD|ICM0102023202|CFM Fan|FW|8280356|Symmetric||0|3 M5x120° ?100mm ?117mm|Upstream||45.00|167.00|Yes||460.00|2.00|1.50|0.00|20104|5.20|440.00|8||||Yes|35.00|2.50|CW||Axial
1111-5YY0200|02-|LT4_JECAD|ICM0102023202|CFM Fan|BW|8280634|Asymmetric||56.15 52.06 48.23 54.98 46.61 59.09 42.88|3 M5x120° ?100mm ?117mm|Downstream||42.67|190.00|Yes|VW|530.00|5.00|1.00|0.00|25212|0.00|520.00|7||||Yes|24.60|2.50|CW||Axial
1111-5YY0218|01-|LT4_JECAD|ICM0102023202|CFM Fan|BW|8280634|Asymmetric||56.15 52.06 48.23 54.98 46.61 59.09 42.88|3 M5x120° ?100mm ?117mm|Downstream||42.67|190.00|Yes|VW|530.00|5.00|1.00|0.00|25212|0.00|520.00|7||||Yes|24.60|2.50|CCW||Axial
1111-5YY0218|02-|LT4_JECAD|ICM0102023202|CFM Fan|BW|8280634|Asymmetric||56.15 52.06 48.23 54.98 46.61 59.09 42.88|3 M5x120° ?100mm ?117mm|Downstream||42.67|190.00|Yes|VW|530.00|5.00|1.00|0.00|25212|0.00|520.00|7||||Yes|24.60|2.50|CCW||Axial
1111-5YY0367|01-|LT4_JECAD|ICM0102023202|CFM Fan|FW|8280938|Symmetric||0|3 M5x120° ?77mm|Upstream||35.00|139.00|Yes|LOV|271.00|2.00|2.00||2942|1.88|265.00|7||||Yes|34.00|2.00|CW||Axial
1111-5YY0368|00-|LT4_JECAD|ICM0102023202|CFM Fan|FW|8280939|Symmetric||0|2 piatti 10|Upstream||35.00|139.00|Yes||271.00|2.00|2.00|0.00|3260|1.88|265.00|9||||Yes|34.00|2.00|CW||Axial
1111-5YY0368|01-|LT4_JECAD|ICM0102023202|CFM Fan|FW|8280939|Symmetric||0|3 M5x120° ?77mm|Upstream||35.00|139.00|Yes|LOV|271.00|2.00|2.00||3260|1.88|265.00|9||||Yes|34.00|2.00|CW||Axial
1111-5YY0367|00-|LT4_JECAD|ICM0102023202|CFM Fan|FW|8280938|Symmetric||0|2 piatti 10|Upstream||35.00|139.00|Yes||271.00|2.00|2.00|0.00|2942|1.88|265.00|7||||Yes|34.00|2.00|CW||Axial
1111-5YY0200|00-|LT4_JECAD|ICM0102023202|CFM Fan|BW|8280634|Asymmetric||56.15 52.06 48.23 54.98 46.61 59.09 42.88|3 M5x120° ?100mm ?117mm|Downstream||42.67|190.00|Yes|VW|530.00|5.00|1.00|0.00|25212|0.00|520.00|7||||Yes|24.60|2.50|CW||Axial
